Fecha Local,Fecha UTC,Direcci󮠤el Viento (grados),Direcci󮠤e rᦡga (grados),Rapidez de viento (km/h),Rapidez de rᦡga (km/h),Temperatura del Aire (C),Humedad relativa (%),Presi󮠁tmosf鲩ca (hpa),Precipitaci󮠨mm),Radiaci󮠓olar (W/m)
12/07/2021 13:50,12/07/2021 18:50,118,97,14.2,22.9,32.9,64,1016.9,0,536
12/07/2021 13:40,12/07/2021 18:40,121,113,15.1,24.6,32.5,65,1017,0,1002
12/07/2021 13:30,12/07/2021 18:30,109,106,18.1,26.9,32.5,66,1016.9,0,851
12/07/2021 13:20,12/07/2021 18:20,125,113,13,23.5,32.9,63,1017.1,0,938
12/07/2021 13:10,12/07/2021 18:10,122,113,14.1,22.3,33,63,1017.1,0,1004
12/07/2021 13:00,12/07/2021 18:00,125,114,13.2,24.6,33.1,62,1017.2,0,983
12/07/2021 12:50,12/07/2021 17:50,135,153,12.4,21.8,32.7,63,1017.3,0,965
12/07/2021 12:40,12/07/2021 17:40,133,121,13.1,20.6,32.6,63,1017.4,0,862
12/07/2021 12:30,12/07/2021 17:30,127,124,13.7,24.1,32.8,62,1017.5,0,974
12/07/2021 12:20,12/07/2021 17:20,130,113,11.7,19.5,32.8,63,1017.5,0,1017
12/07/2021 12:10,12/07/2021 17:10,125,117,14.4,23.5,32.5,64,1017.6,0,1017
12/07/2021 12:00,12/07/2021 17:00,133,116,11,21.2,32.8,62,1017.8,0,894
12/07/2021 11:50,12/07/2021 16:50,130,158,12.1,21.8,32.8,62,1017.8,0,1008
12/07/2021 11:40,12/07/2021 16:40,133,124,11,19.5,32.8,62,1017.8,0,940
12/07/2021 11:30,12/07/2021 16:30,120,104,12.6,20,32.6,63,1017.7,0,919
12/07/2021 11:20,12/07/2021 16:20,142,165,11.6,21.8,32.4,62,1017.7,0,772
12/07/2021 11:10,12/07/2021 16:10,154,146,13.2,20.6,32.2,62,1017.6,0,877
12/07/2021 11:00,12/07/2021 16:00,146,144,12.9,19.5,32.2,62,1017.5,0,703
12/07/2021 10:50,12/07/2021 15:50,137,159,13.1,21.8,32.3,62,1017.5,0,834
12/07/2021 10:40,12/07/2021 15:40,134,173,11.9,21.2,32.4,63,1017.4,0,819
12/07/2021 10:30,12/07/2021 15:30,130,139,13,21.8,32,64,1017.3,0,792
12/07/2021 10:20,12/07/2021 15:20,123,133,13.1,22.3,32.1,64,1017.2,0,757
12/07/2021 10:10,12/07/2021 15:10,135,122,12.7,19.5,32.2,63,1017.2,0,686
12/07/2021 10:00,12/07/2021 15:00,133,113,10.8,18.3,32,64,1017.1,0,705
12/07/2021 09:50,12/07/2021 14:50,143,157,10.9,17.7,31.7,65,1017,0,649
12/07/2021 09:40,12/07/2021 14:40,130,122,10.9,20.6,31.6,65,1016.7,0,531
12/07/2021 09:30,12/07/2021 14:30,145,158,12.9,20,31.6,65,1016.6,0,625
12/07/2021 09:20,12/07/2021 14:20,132,161,11.6,18.9,31.5,65,1016.5,0,590
12/07/2021 09:10,12/07/2021 14:10,137,161,10.3,18.9,31.1,68,1016.3,0,551
12/07/2021 09:00,12/07/2021 14:00,141,159,11.2,18.9,31,68,1016.2,0,458
12/07/2021 08:50,12/07/2021 13:50,129,116,10.5,18.9,31,68,1016,0,430
12/07/2021 08:40,12/07/2021 13:40,137,143,9.5,14.3,30.7,72,1015.9,0,447
12/07/2021 08:30,12/07/2021 13:30,126,117,11.1,21.8,30.3,74,1015.8,0,428
12/07/2021 08:20,12/07/2021 13:20,134,149,9.4,16.6,29.6,78,1015.7,0,362
12/07/2021 08:10,12/07/2021 13:10,142,167,8.6,17.2,29.2,80,1015.5,0,202
12/07/2021 08:00,12/07/2021 13:00,145,160,9.7,17.7,29.3,79,1015.4,0,165
12/07/2021 07:50,12/07/2021 12:50,133,149,7.3,14.3,29,84,1015.2,0,222
12/07/2021 07:40,12/07/2021 12:40,140,148,6.1,11.4,28.3,87,1015,0,201
12/07/2021 07:30,12/07/2021 12:30,129,121,5.8,12.5,28.2,87,1015,0,85
12/07/2021 07:20,12/07/2021 12:20,132,155,6.6,11.4,27.9,91,1014.9,0,109
12/07/2021 07:10,12/07/2021 12:10,132,130,4.8,7.9,27.3,98,1014.7,0,117
12/07/2021 07:00,12/07/2021 12:00,137,113,4.8,9.7,26.7,100,1014.7,0,79
12/07/2021 06:50,12/07/2021 11:50,132,129,4.2,7.4,26.4,100,1014.7,0,52
12/07/2021 06:40,12/07/2021 11:40,134,183,4.1,7.9,26.2,100,1014.7,0,33
12/07/2021 06:30,12/07/2021 11:30,131,122,4,7.9,26.1,100,1014.6,0,17
12/07/2021 06:20,12/07/2021 11:20,136,146,3.4,5.6,26,100,1014.5,0,6
12/07/2021 06:10,12/07/2021 11:10,137,136,3.6,5.6,26,100,1014.5,0,1
12/07/2021 06:00,12/07/2021 11:00,132,134,3.2,5.6,26,100,1014.5,0,-2
12/07/2021 05:50,12/07/2021 10:50,137,134,3.7,6.2,26,100,1014.5,0,-2
12/07/2021 05:40,12/07/2021 10:40,132,141,3.2,5.6,26.1,100,1014.5,0,-2
12/07/2021 05:30,12/07/2021 10:30,131,155,2.9,6.2,26.1,100,1014.5,0,-2
12/07/2021 05:20,12/07/2021 10:20,132,125,3,6.2,26.1,100,1014.5,0,-2
12/07/2021 05:10,12/07/2021 10:10,136,134,4.3,7.4,26.2,100,1014.5,0,-2
12/07/2021 05:00,12/07/2021 10:00,145,151,4.4,8.5,26.3,97,1014.6,0,-2
12/07/2021 04:50,12/07/2021 09:50,157,166,4.2,7.4,26.5,93,1014.6,0,-2
12/07/2021 04:40,12/07/2021 09:40,165,165,5.3,6.8,26.8,91,1014.7,0,-2
12/07/2021 04:30,12/07/2021 09:30,171,170,7.2,10.8,27,90,1014.7,0,-2
12/07/2021 04:20,12/07/2021 09:20,160,161,10,17.2,27,90,1014.7,0,-1
12/07/2021 04:10,12/07/2021 09:10,135,159,5.7,11.4,26.9,88,1014.7,0,-1
12/07/2021 04:00,12/07/2021 09:00,133,141,5.9,13.7,26.9,87,1014.7,0,-2
12/07/2021 03:50,12/07/2021 08:50,133,167,6,11.4,26.9,86,1014.6,0,-2
12/07/2021 03:40,12/07/2021 08:40,134,135,7,12,26.9,87,1014.6,0,-1
12/07/2021 03:30,12/07/2021 08:30,138,167,6.8,13.1,27,87,1014.5,0,-2
12/07/2021 03:20,12/07/2021 08:20,136,159,7.6,15.4,27,87,1014.5,0,-2
12/07/2021 03:10,12/07/2021 08:10,138,139,6.2,10.8,27,86,1014.4,0,-2
12/07/2021 03:00,12/07/2021 08:00,135,126,7.3,12,27.1,86,1014.4,0,-2
12/07/2021 02:50,12/07/2021 07:50,135,163,8.6,17.7,27.1,86,1014.4,0,-2
12/07/2021 02:40,12/07/2021 07:40,131,121,7.1,13.7,27,85,1014.6,0,-2
12/07/2021 02:30,12/07/2021 07:30,129,116,7.8,12.5,27,84,1014.6,0,-2
12/07/2021 02:20,12/07/2021 07:20,127,111,9.4,14.3,26.9,83,1014.7,0,-2
12/07/2021 02:10,12/07/2021 07:10,124,119,10.7,19.5,26.8,85,1014.7,0,-1
12/07/2021 02:00,12/07/2021 07:00,119,109,10.6,16,26.9,84,1014.7,0,-2
12/07/2021 01:50,12/07/2021 06:50,125,116,11.3,23.5,26.9,84,1014.7,0,-1
12/07/2021 01:40,12/07/2021 06:40,141,150,8.7,17.2,26.7,82,1014.9,0,-2
12/07/2021 01:30,12/07/2021 06:30,140,117,8.7,14.3,26.8,80,1015.2,0,-2
12/07/2021 01:20,12/07/2021 06:20,129,106,14.2,29.2,27.5,81,1015.3,0,-2
12/07/2021 01:10,12/07/2021 06:10,132,128,10.2,25.2,28,85,1015.3,0,-1
12/07/2021 01:00,12/07/2021 06:00,129,113,9.6,18.3,28,84,1015.3,0,-2
12/07/2021 00:50,12/07/2021 05:50,129,115,9.8,19.5,28,84,1015.5,0,-2
12/07/2021 00:40,12/07/2021 05:40,122,108,9.6,17.2,28,85,1015.6,0,-2
12/07/2021 00:30,12/07/2021 05:30,128,133,10.8,19.5,28.1,84,1015.7,0,-1
12/07/2021 00:20,12/07/2021 05:20,124,106,11.9,18.9,28,84,1015.9,0,-2
12/07/2021 00:10,12/07/2021 05:10,121,121,11.5,20.6,28.1,84,1016,0,-2
12/07/2021 00:00,12/07/2021 05:00,121,118,11.6,18.3,28.1,84,1015.9,0,-2
11/07/2021 23:50,12/07/2021 04:50,119,116,15.2,25.2,28.1,84,1015.8,0,-2
11/07/2021 23:40,12/07/2021 04:40,122,119,13.7,24.1,28,85,1015.7,0,-2
11/07/2021 23:30,12/07/2021 04:30,118,121,12.9,19.5,28,85,1015.9,0,-2
11/07/2021 23:20,12/07/2021 04:20,116,118,11.7,18.9,28.1,84,1015.8,0,-2
11/07/2021 23:10,12/07/2021 04:10,118,126,14.8,22.3,28.1,84,1015.7,0,-2
11/07/2021 23:00,12/07/2021 04:00,121,112,13.5,21.8,28.2,84,1015.7,0,-2
11/07/2021 22:50,12/07/2021 03:50,118,113,14.2,21.8,28.2,85,1015.7,0,-2
11/07/2021 22:40,12/07/2021 03:40,120,124,11.3,18.9,28.2,84,1015.7,0,-2
11/07/2021 22:30,12/07/2021 03:30,120,117,11.6,20,28.3,84,1015.7,0,-2
11/07/2021 22:20,12/07/2021 03:20,118,120,11.6,17.7,28.3,84,1015.7,0,-2
11/07/2021 22:10,12/07/2021 03:10,128,112,11.2,19.5,28.4,83,1015.7,0,-2
11/07/2021 22:00,12/07/2021 03:00,123,144,11.4,18.9,28.4,83,1015.7,0,-2
11/07/2021 21:50,12/07/2021 02:50,124,116,12.1,20.6,28.5,83,1015.5,0,-2
11/07/2021 21:40,12/07/2021 02:40,125,125,11.9,21.8,28.5,84,1015.5,0,-2
11/07/2021 21:30,12/07/2021 02:30,120,117,14.8,26.9,28.6,84,1015.4,0,-2
11/07/2021 21:20,12/07/2021 02:20,118,121,14.5,22.3,28.6,85,1015.3,0,-2
11/07/2021 21:10,12/07/2021 02:10,116,108,13.1,20.6,28.5,85,1015.1,0,-1
11/07/2021 21:00,12/07/2021 02:00,118,104,14.6,22.3,28.4,84,1014.9,0,-2
11/07/2021 20:50,12/07/2021 01:50,125,114,12.2,25.8,28.3,84,1014.6,0,-2
11/07/2021 20:40,12/07/2021 01:40,130,126,9.9,19.5,28.4,83,1014.5,0,-2
11/07/2021 20:30,12/07/2021 01:30,129,117,11.4,22.3,28.4,82,1014.3,0,-2
11/07/2021 20:20,12/07/2021 01:20,125,113,11,19.5,28.4,82,1014.2,0,-2
11/07/2021 20:10,12/07/2021 01:10,120,119,10.7,17.2,28.4,82,1014.1,0,-2
11/07/2021 20:00,12/07/2021 01:00,124,122,11.8,20,28.3,82,1013.9,0,-2
11/07/2021 19:50,12/07/2021 00:50,124,98,9.2,17.7,28.5,82,1013.7,0,-2
11/07/2021 19:40,12/07/2021 00:40,122,120,11.3,21.8,28.6,80,1013.7,0,-1
11/07/2021 19:30,12/07/2021 00:30,123,110,11.3,20,28.6,79,1013.8,0,3
11/07/2021 19:20,12/07/2021 00:20,127,127,10.8,18.3,28.8,79,1013.9,0,10
11/07/2021 19:10,12/07/2021 00:10,119,119,12.8,20,28.8,79,1013.7,0,18
11/07/2021 19:00,12/07/2021 00:00,122,99,11.4,18.3,28.9,79,1013.7,0,25
11/07/2021 18:50,11/07/2021 23:50,120,114,13,21.8,29.1,79,1013.7,0,35
11/07/2021 18:40,11/07/2021 23:40,121,123,11.7,24.1,29.3,78,1013.8,0,46
11/07/2021 18:30,11/07/2021 23:30,118,118,12.5,21.8,29.4,77,1013.8,0,67
11/07/2021 18:20,11/07/2021 23:20,119,123,15.7,25.2,29.5,76,1013.8,0,82
11/07/2021 18:10,11/07/2021 23:10,118,99,15.7,22.9,29.7,75,1013.7,0,90
11/07/2021 18:00,11/07/2021 23:00,115,110,15.4,24.1,30.1,75,1013.7,0,102
11/07/2021 17:50,11/07/2021 22:50,120,114,15,22.3,30.3,74,1013.7,0,168
11/07/2021 17:40,11/07/2021 22:40,118,113,13.5,24.1,30.2,75,1013.7,0,197
11/07/2021 17:30,11/07/2021 22:30,124,124,13.3,25.2,30.5,73,1013.9,0,121
11/07/2021 17:20,11/07/2021 22:20,125,122,14.2,20,30.8,73,1013.8,0,231
11/07/2021 17:10,11/07/2021 22:10,118,113,18.8,30.4,31.2,71,1013.8,0,308
11/07/2021 17:00,11/07/2021 22:00,118,105,18.1,32.1,31.7,70,1013.9,0,389
11/07/2021 16:50,11/07/2021 21:50,124,119,14.2,22.9,31.9,70,1013.9,0,498
11/07/2021 16:40,11/07/2021 21:40,119,114,17.2,30.4,31.7,70,1014,0,524
11/07/2021 16:30,11/07/2021 21:30,118,108,19,30.4,31.5,71,1014.1,0,554
11/07/2021 16:20,11/07/2021 21:20,118,102,17,28.1,31.6,71,1014.2,0,438
11/07/2021 16:10,11/07/2021 21:10,118,106,16,28.7,31.6,71,1014.3,0,426
11/07/2021 16:00,11/07/2021 21:00,123,116,15.9,28.7,31.8,71,1014.4,0,548
11/07/2021 15:50,11/07/2021 20:50,121,106,17.6,27.5,32.2,70,1014.4,0,446
11/07/2021 15:40,11/07/2021 20:40,123,119,16.2,28.1,32.6,68,1014.6,0,729
11/07/2021 15:30,11/07/2021 20:30,122,114,15.3,27.5,32.7,69,1014.7,0,765
11/07/2021 15:20,11/07/2021 20:20,124,129,14.8,24.1,32.3,71,1014.7,0,802
11/07/2021 15:10,11/07/2021 20:10,122,106,15,24.6,31.8,72,1014.6,0,606
